"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hr-1247",15,0.16,1525,0.28,0
"113-hr-1248",3,0.75,302,0.54,0
"113-hr-1249",13,0.22,1301,0.53,0
"113-hr-125",20,0.45,2011,0.39,0
"113-hr-1250",3,0.65,302,0.37,0
"113-hr-1251",6,0.64,601,0.63,0
"113-hr-1252",3,0.5,325,0.16,0
"113-hr-1253",15,0.18,1525,0.31,0
"113-hr-1254",15,0.16,1525,0.27,0
"113-hr-1255",15,0.4,1504,0.56,0
"113-hr-1256",12,0.18,1204,0.38,0
"113-hr-1257",3,0.71,331,0.41,0
"113-hr-1258",6,0.76,601,0.32,0
"113-hr-1259",21,0.93,2101,0.96,0
"113-hr-126",12,0.2,1207,0.21,0
"113-hr-1260",21,0.9,2103,0.89,0
"113-hr-1261",12,0.22,1207,0.21,0
"113-hr-1262",2,0.4,208,0.99,0
"113-hr-1263",3,0.88,333,0.65,0
"113-hr-1264",20,0.63,2014,0.97,0
"113-hr-1265",16,0.9,1608,0.87,0
"113-hr-1266",21,0.25,2103,0.48,0
"113-hr-1267",15,0.53,1523,0.77,0
"113-hr-1268",99,0.3,9900,1,0
"113-hr-1269",13,0.3,1303,0.67,0
"113-hr-127",2,0.66,207,0.85,0
"113-hr-1270",1,0.61,105,0.86,0
"113-hr-1271",6,0.62,601,0.7,0
"113-hr-1272",3,0.2,321,0.24,0
"113-hr-1273",8,0.79,800,0.36,0
"113-hr-1274",6,0.9,601,0.48,0
"113-hr-1275",13,0.63,1303,0.98,0
"113-hr-1276",18,0.65,1802,0.53,0
"113-hr-1277",5,0.58,503,0.81,0
"113-hr-1278",21,0.74,2102,0.88,0
"113-hr-1279",18,0.75,1802,0.91,0
"113-hr-128",15,0.28,1525,0.42,0
"113-hr-1280",3,0.21,331,0.37,0
"113-hr-1281",7,0.24,709,0.57,0
"113-hr-1282",7,0.2,704,0.42,0
"113-hr-1283",20,0.2,2002,0.38,0
"113-hr-1284",16,0.97,1609,0.71,0
"113-hr-1285",12,0.78,1203,1,0
"113-hr-1286",13,0.17,1303,0.34,0
"113-hr-1287",15,0.19,1525,0.3,0
"113-hr-1288",16,0.33,1608,0.46,0
"113-hr-1289",21,0.55,2101,0.82,0
"113-hr-129",15,0.45,1501,0.79,0
"113-hr-1290",12,0.94,1209,0.58,0
"113-hr-1291",7,0.99,709,0.96,0
"113-hr-1292",15,0.16,1525,0.3,0
"113-hr-1293",3,0.36,398,0.82,0
"113-hr-1294",21,0.87,2103,0.83,0
"113-hr-1295",3,0.44,321,0.53,0
"113-hr-1296",12,0.25,1203,0.39,0
"113-hr-1297",4,0.66,402,0.64,0
"113-hr-1298",4,0.81,401,0.52,0
"113-hr-1299",16,0.26,1615,0.62,0
"113-hr-130",1,0.31,104,0.52,0
"113-hr-1300",7,0.65,709,0.95,0
"113-hr-1301",17,0.17,1798,0.7,0
"113-hr-1302",16,0.55,1608,0.34,0
"113-hr-1303",6,0.74,602,0.88,0
"113-hr-1304",4,0.35,402,0.75,0
"113-hr-1305",14,0.67,1409,0.49,0
"113-hr-1306",21,0.99,2103,0.5,0
"113-hr-1307",21,0.81,2103,0.96,0
"113-hr-1308",4,0.28,408,0.69,0
"113-hr-1309",3,0.68,301,0.34,0
"113-hr-131",15,0.42,1501,0.57,0
"113-hr-1310",3,0.79,302,0.36,0
"113-hr-1311",12,0.7,1207,0.7,0
"113-hr-1312",2,0.36,208,0.99,0
"113-hr-1313",4,0.82,403,0.64,0
"113-hr-1314",7,0.98,709,0.99,0
"113-hr-1315",15,0.19,1525,0.32,0
"113-hr-1316",16,0.84,1608,0.54,0
"113-hr-1317",15,0.3,1504,0.35,0
"113-hr-1318",6,0.86,601,0.39,0
"113-hr-1319",12,0.22,1207,0.21,0
"113-hr-132",15,0.16,1525,0.27,0
"113-hr-1320",15,0.2,1525,0.31,0
"113-hr-1321",15,0.8,1521,0.9,0
"113-hr-1322",12,0.16,1201,0.3,0
"113-hr-1323",15,0.96,1521,0.86,0
"113-hr-1324",1,0.34,107,0.67,0
"113-hr-1325",3,0.78,321,0.3,0
"113-hr-1326",3,0.96,302,0.45,0
"113-hr-1327",15,0.19,1525,0.29,0
"113-hr-1328",7,0.65,709,0.79,0
"113-hr-1329",7,0.96,709,0.84,0
"113-hr-133",12,0.22,1207,0.2,0
"113-hr-1330",6,0.66,601,0.91,0
"113-hr-1331",3,0.8,301,0.45,0
"113-hr-1332",13,0.25,1303,0.65,0
"113-hr-1333",16,0.66,1608,0.74,0
"113-hr-1334",6,0.89,601,0.46,0
"113-hr-1335",15,0.2,1525,0.29,0
"113-hr-1336",1,0.35,105,0.78,0
"113-hr-1337",15,0.23,1501,0.38,0
"113-hr-1338",19,0.49,1921,0.77,0
"113-hr-1339",6,0.46,601,0.51,0
